latitude,longitude,hour,minute
42.3230938,-71.0782357,2,40
42.32267,-71.0781786,3,4
42.32267,-71.0781786,3,26
42.2996211,-71.1017917,3,21
42.3229631,-71.0781554,15,50
42.3515439,-71.063299,4,10
42.3515623,-71.063299,4,13
42.3516114,-71.0633685,4,38
42.3515623,-71.063299,4,40
42.3517244,-71.0628347,4,42
42.3524553,-71.0621151,4,44
42.3526401,-71.0610241,4,46
42.3540878,-71.0596661,4,48
42.3548797,-71.0597937,4,50
42.3558693,-71.0613491,4,52
42.3579969,-71.0583777,4,53
42.3226885,-71.0781786,16,48
42.2997092,-71.1015996,4,59
42.3322445,-71.0489992,17,9
42.3320413,-71.0497652,17,11
42.3316551,-71.0490025,17,13
42.3322108,-71.0499974,17,15
42.3322414,-71.050067,17,17
42.3324842,-71.0498581,17,20
42.3328982,-71.0493473,17,22
42.3328875,-71.0493937,17,24
42.3330348,-71.0493982,17,42
42.3328875,-71.0493937,17,45
42.3228222,-71.078092,12,41
42.3229662,-71.0780815,19,38
42.3229485,-71.0781786,10,29
42.3229117,-71.078094,20,43
42.3223488,-71.0775455,12,40
42.3230865,-71.0781741,12,48
42.3227442,-71.0781786,22,18
42.3226926,-71.0782019,1,17
42.3230628,-71.0783187,23,49
42.3226739,-71.0782019,3,55
42.3229929,-71.0781669,4,1
42.3579931,-71.0583544,3,53
42.3226885,-71.0781786,4,3
42.3226885,-71.0781786,17,2
42.3226599,-71.0781899,8,38
42.3328875,-71.0493937,17,47
42.3328948,-71.0493822,18,21
42.3330348,-71.0493982,18,23
42.3328948,-71.0493822,18,25
42.3328875,-71.0493937,18,32
42.3328982,-71.0493473,18,48
42.3328875,-71.0493937,18,50
42.3330348,-71.0493982,18,55
42.3328875,-71.0493937,19,0
42.3328836,-71.0493705,19,6
42.3229558,-71.0781669,13,58
42.3226599,-71.0781899,22,33
42.2994698,-71.101889,22,40
42.2996893,-71.1014836,22,42
42.3414313,-71.0719111,0,35
42.3413315,-71.0733387,0,44
42.3305982,-71.0526206,1,44
42.3514934,-71.0719384,1,49
42.3304207,-71.052342,1,54
42.3514934,-71.0719384,1,59
42.3304061,-71.0523652,2,4
42.3304076,-71.0521562,2,9
42.3514934,-71.0719384,2,14
42.3303863,-71.0522491,2,44
42.3229631,-71.0781554,16,43
42.3226599,-71.0781899,5,31
42.3600312,-71.0597473,5,52
42.3230481,-71.078109,17,40
42.3226885,-71.0781786,18,33
42.3233468,-71.0784959,8,9
42.32267,-71.0781786,8,19
42.3227175,-71.0782543,19,27
42.3227483,-71.0782019,13,3
42.3233067,-71.0783178,0,28
42.3583824,-71.0590045,1,45
42.3226739,-71.0782019,0,4
42.3583068,-71.0592133,3,17
42.3579884,-71.0583858,3,41
42.3222641,-71.0784077,16,29
42.3582248,-71.058842,4,51
42.2833557,-71.0441056,18,2
42.3226666,-71.0782134,21,55
42.3579884,-71.0583858,5,6
42.32267,-71.0781786,9,48
42.3226739,-71.0782019,9,53
42.3232979,-71.0785109,18,11
42.3228895,-71.0782134,18,19
42.3226885,-71.0781786,8,0
42.3226885,-71.0781786,10,12
42.3228496,-71.0781318,10,39
42.3229583,-71.078087,11,14
42.3229818,-71.0781554,11,58
42.3229818,-71.0781554,12,21
42.322985,-71.0779477,21,14
42.3229406,-71.0781322,21,33
42.3230217,-71.0780733,21,44
42.3229754,-71.0781172,21,51
42.3226739,-71.0782019,0,52
42.323078,-71.0780882,22,19
42.3226885,-71.0781786,22,23
42.3228962,-71.0780822,14,59
42.3579969,-71.0583777,2,9
42.3229631,-71.0781554,15,23
42.340646,-71.1508198,2,59
42.340646,-71.1508198,2,59
42.3410997,-71.1500682,2,59
42.3414584,-71.1489477,2,59
42.3415233,-71.1480744,2,59
