timetable_id,stop_id,stop_sequence,stop_name,connected_routes
15,781734,6,9th Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
15,781736,7,14th Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
15,781738,8,23rd Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
15,781740,9,33rd Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
16,781723,1,Journal Square,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken)"
16,781726,2,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
16,781728,3,Newport,"PATH/Hoboken - World Trade Center, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken)"
16,781715,4,Hoboken,"PATH/Hoboken - 33rd Street, PATH/Hoboken - World Trade Center, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken)"
16,781732,5,Christopher Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
16,781734,6,9th Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
16,781736,7,14th Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
16,781738,8,23rd Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
16,781740,9,33rd Street,"PATH/Hoboken - 33rd Street, PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken)"
17,794724,1,World Trade Center,PATH/Newark - World Trade Center
17,781731,2,Exchange Place,"PATH/Hoboken - World Trade Center, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
17,781727,3,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
17,781725,4,Journal Square,PATH/Newark - World Trade Center
17,781721,5,Harrison,PATH/Newark - World Trade Center
17,781719,6,Newark,PATH/Newark - World Trade Center
18,794724,1,World Trade Center,PATH/Newark - World Trade Center
18,781731,2,Exchange Place,"PATH/Hoboken - World Trade Center, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
18,781727,3,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
18,781725,4,Journal Square,PATH/Newark - World Trade Center
18,781721,5,Harrison,PATH/Newark - World Trade Center
18,781719,6,Newark,PATH/Newark - World Trade Center
19,794724,1,World Trade Center,PATH/Newark - World Trade Center
19,781731,2,Exchange Place,"PATH/Hoboken - World Trade Center, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
19,781727,3,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
19,781725,4,Journal Square,PATH/Newark - World Trade Center
19,781721,5,Harrison,PATH/Newark - World Trade Center
19,781719,6,Newark,PATH/Newark - World Trade Center
20,781718,1,Newark,PATH/Newark - World Trade Center
20,781720,2,Harrison,PATH/Newark - World Trade Center
20,781722,3,Journal Square,PATH/Newark - World Trade Center
20,781726,4,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
20,781730,5,Exchange Place,"PATH/Hoboken - World Trade Center, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
20,794724,6,World Trade Center,PATH/Newark - World Trade Center
21,781718,1,Newark,PATH/Newark - World Trade Center
21,781720,2,Harrison,PATH/Newark - World Trade Center
21,781722,3,Journal Square,PATH/Newark - World Trade Center
21,781726,4,Grove Street,"PATH/Journal Square - 33rd Street, PATH/Journal Square - 33rd Street (via Hoboken), PATH/Journal Square - Hoboken, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
21,781730,5,Exchange Place,"PATH/Hoboken - World Trade Center, PATH/Journal Square - World Trade Center (via Hoboken), PATH/Newark - World Trade Center"
21,794724,6,World Trade Center,PATH/Newark - World Trade Center
