latitude,longitude,hour,minute
40.738018,-73.993263,4,33
40.720734,-73.997704,4,22
40.731556,-73.989204,4,36
40.720367,-73.987991,4,36
40.728565,-74.002632,4,17
40.715176,-73.992424,4,35
40.722717,-73.982796,4,34
40.720615,-73.997093,4,34
40.720879,-73.987007,4,33
40.764671,-73.988068,4,46
40.722099,-73.988159,4,37
40.761654,-73.986496,4,29
40.721127,-73.997536,4,43
40.726418,-74.005402,4,28
0,0,8,8
40.766071,-73.99086,4,36
40.755474,-73.986328,4,31
40.742859,-74.004158,4,39
40.850094,-73.910599,4,41
40.722816,-73.982964,4,6
40.752728,-73.96785,4,42
40.75602,-73.964767,4,40
40.728863,-73.984245,3,46
40.713951,-73.997574,4,32
40.739845,-74.002312,4,27
40.759727,-73.996284,4,32
40.722717,-73.988647,4,37
40.721333,-73.992294,4,41
40.734676,-73.990829,4,43
40.764191,-73.980919,4,26
40.701202,-73.9897,4,37
40.748672,-73.986656,4,38
40.728523,-73.999863,4,46
40.717781,-73.957748,4,34
40.749767,-73.991264,4,31
40.718983,-73.956451,4,52
40.747696,-73.973564,4,47
40.728436,-73.978737,4,40
40.773697,-73.951775,4,45
40.741638,-73.989525,4,35
40.780205,-73.946854,4,49
40.765903,-73.991081,4,49
40.779621,-73.977158,11,4
40.720432,-74.005074,11,6
40.77211,-73.922272,10,59
40.799171,-73.962692,11,4
40.738823,-73.98735,11,7
40.741936,-74.004639,11,2
40.773914,-73.87352,10,50
40.730824,-73.982918,11,3
40.750538,-74.002098,11,6
40.738075,-73.980843,16,36
40.756989,-73.989853,4,28
40.721203,-73.987762,4,35
0,0,4,15
40.744217,-74.006645,4,27
40.726501,-73.983284,4,13
40.723362,-73.989807,4,24
40.723694,-74.0047,4,3
0,0,4,27
40.754047,-73.993927,4,24
40.764267,-73.988434,4,40
40.729473,-73.989845,4,29
40.726269,-73.991592,4,34
40.732014,-73.984093,4,32
40.746788,-73.974487,4,31
40.777119,-73.952225,4,28
40.719761,-74.003761,4,34
40.761196,-73.977654,4,27
40.731972,-73.988144,4,33
40.762791,-73.996902,4,25
40.77956,-73.961746,10,59
40.74292,-74.000191,10,56
40.717926,-74.005791,11,1
0,0,11,10
40.757286,-73.989616,11,2
40.737068,-73.98877,11,0
40.745872,-74.000038,10,57
40.769547,-73.910126,10,50
40.756252,-73.987053,11,5
40.769798,-73.863625,10,49
40.749912,-73.991577,11,2
40.795578,-73.961891,11,4
40.7822,-73.955894,11,3
40.753052,-73.977745,10,51
40.794243,-73.951019,11,6
40.7813,-73.972267,11,10
40.762566,-73.983078,11,1
40.777126,-73.982597,10,59
40.772568,-73.958939,11,8
40.728497,-73.999786,11,9
40.766472,-73.982574,4,41
40.759964,-73.996384,4,39
40.727821,-73.9851,4,47
40.770737,-73.951248,4,41
40.725719,-74.003815,4,37
40.742283,-74.004288,4,43
40.889069,-73.861534,4,51
40.769604,-73.980858,4,41
40.721054,-73.993713,4,46
40.745331,-74.00824,10,57
40.773571,-73.955284,11,10
40.764465,-73.973572,10,54
40.757095,-74.001205,10,55
40.792263,-73.968117,10,58
40.750027,-73.992798,10,57
40.746998,-73.974205,11,4
40.756443,-73.965019,11,4
40.737785,-73.984039,10,24
40.759113,-73.985229,10,56
40.776871,-73.95269,11,1
40.750481,-73.97863,11,2
40.679966,-73.981201,11,5
40.750172,-73.991432,11,0
40.772007,-73.952934,11,12
40.751225,-73.973595,11,2
40.699253,-73.986549,4,38
40.717896,-73.957657,4,21
40.717224,-73.962837,4,32
40.723305,-74.007919,4,15
40.722656,-73.987991,4,32
40.745541,-73.980087,4,46
40.703934,-73.932816,4,48
40.786945,-73.971733,10,52
40.779575,-73.98185,11,5
40.721371,-73.986801,10,46
40.759342,-73.987801,11,9
40.770737,-73.966248,11,3
40.797752,-73.920479,10,45
40.762131,-73.985146,10,47
40.718819,-74.010498,11,2
40.77898,-73.950851,11,3
40.721546,-73.989067,10,57
40.781647,-73.956268,11,9
40.733662,-73.977943,11,6
40.789005,-73.975967,11,9
40.758148,-73.937523,11,7
40.774052,-73.874535,10,53
40.759304,-73.995911,11,12
40.784912,-73.946648,11,14
40.75592,-73.9935,11,7
40.706696,-73.952927,4,30
40.724216,-73.992851,4,41
40.736298,-73.982101,4,48
40.721798,-73.987404,4,40
40.789738,-73.954414,4,46
40.767597,-73.959206,4,38
40.724766,-73.994659,4,51
40.744808,-73.998787,11,0
40.748802,-73.992485,10,55
40.772968,-73.948914,10,56
40.71909,-74.002258,11,5
40.733372,-73.98111,10,59
40.742508,-73.980461,11,6
40.77655,-73.962456,11,2
