Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft_),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft_),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft_),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft_),Weather Normalized Site EUI (kBtu/ft_),Weather Normalized Site Electricity Intensity (kWh/ft_),Weather Normalized Site Natural Gas Intensity (therms/ft_),Weather Normalized Source EUI (kBtu/ft_),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft_),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft_),Source EUI (kBtu/ft_),Release Date,Water Required?,DOF Benchmarking Submission Status
N/A,2831099,LOW HOUSES,4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,3037270001;3037450001,3037270001;3037450001,3084013;3327013;3327014;3327015,180 POWELL STREET,Not Available,11212,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,541000,Not Available,Not Available,Not Available,Not Available,1967,1,100,Whole Building,Not Available,10,140.1,139.7,8,1,203.2,Not Available,8828550.1,Not Available,Not Available,Not Available,Not Available,51931574.8,519315.7,15042775.9,4337673,4809.5,3413.5,1396,541000,Not Available,Not Available,204.6,6/2/17 10:55 AM,,
N/A,3128119,LOW HOUSES/GLENMORE PLAZA,4473955,LOW HOUSES/GLENMORE PLAZA CAMPUS,3037270001;3037450001;3035070001;3037090001,3037270001;3037450001;3035070001;3037090001,3080766;3326947;3326948;3326949;3084013;3327013;3327014;3327015,180 POWELL STREET,Not Available,11212,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,991000,Not Available,Not Available,Not Available,Not Available,1967,1,100,Whole Building,Not Available,100,5.1,5.2,Not Available,0.1,5.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5036289.4,51798.8,Not Available,Not Available,267.5,267.5,0,991000,Not Available,Not Available,5.3,6/2/17 10:55 AM,,
N/A,4473962,MILL BROOK/MILL BROOK EXTENSION CAMPUS,4473962,MILL BROOK/MILL BROOK EXTENSION CAMPUS,2022630019;2025480001;2025480042,2022630019;2025480001;2025480042,2090984;2090985;2090986;2090987;2091266;2091267;2091268;2091269;2091270;2003599,180 BROOK AVENUE,Not Available,10454,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1288340,Not Available,Not Available,Not Available,Not Available,1962,10,100,Whole Building,Not Available,26,117.8,Not Available,7.8,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,116651644.5,Not Available,35081530.8,10012644,9451.5,6195.9,3255.6,1288340,Not Available,Not Available,180.6,6/2/17 10:55 AM,,
N/A,2831121,MILL BROOK EXTENSION,4473962,MILL BROOK/MILL BROOK EXTENSION CAMPUS,2025480042,2025480042,2003599,169 CYPRESS AVENUE,Not Available,10454,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,129600,Not Available,Not Available,Not Available,Not Available,1962,1,100,Whole Building,Not Available,99,28.7,Not Available,7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,548502.1,Not Available,3168784.3,904901.1,323.2,29.1,294.1,129600,Not Available,Not Available,81.2,6/2/17 10:55 AM,,
N/A,2831120,MILL BROOK,4473962,MILL BROOK/MILL BROOK EXTENSION CAMPUS,2022630019;2025480001,2022630019;2025480001,2090984;2090985;2090986;2090987;2091266;2091267;2091268;2091269;2091270,180 BROOK AVENUE,Not Available,10454,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1158740,Not Available,Not Available,Not Available,Not Available,1962,1,100,Whole Building,Not Available,98,32,Not Available,7.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5159150,Not Available,31912746.6,9107744.2,3235.5,274,2961.5,1158740,Not Available,Not Available,91.2,6/2/17 10:55 AM,,
N/A,3128120,MILL BROOK/MILL BROOK EXTENSION,4473962,MILL BROOK/MILL BROOK EXTENSION CAMPUS,2022630019;2025480001;2025480042,2022630019;2025480001;2025480042,2090984;2090985;2090986;2090987;2091266;2091267;2091268;2091269;2091270;2003599,180 BROOK AVENUE,Not Available,10454,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1288340,Not Available,Not Available,Not Available,Not Available,1962,1,100,Whole Building,Not Available,98,86.1,94.3,Not Available,0.9,99.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,110943992.4,1215391.5,Not Available,Not Available,5892.8,5892.8,0,1288340,Not Available,Not Available,90.4,6/2/17 10:55 AM,,
N/A,4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,2029010001;2029100001;2029020036;2029110001;2023900024,2029010001;2029100001;2029020036;2029110001;2023900024,2092079;2092082;2092083;2092084;2092085;2092095;2092098;2092099;2092100;2092101;2092075;2092093;2092094;2092109;2092112;2092113;2092114;2091182;2091183,1385 WASHINGTON AVENUE,Not Available,10456,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,2114950,Not Available,Not Available,Not Available,Not Available,1963,19,100,Whole Building,Not Available,19,132.3,Not Available,6.7,Not Available,Not Available,Not Available,31602,Not Available,Not Available,Not Available,Not Available,229450352.2,Not Available,50279827.1,14194605.8,16855.5,12189.6,4666,2114950,Not Available,Not Available,188.6,6/2/17 10:55 AM,,
N/A,2831128,MORRISANIA,4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,2023900024,2023900024,2091182;2091183,450 EAST 169TH STREET,Not Available,10456,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,194550,Not Available,Not Available,Not Available,Not Available,1963,1,100,Whole Building,Not Available,96,36,Not Available,8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1605907.6,Not Available,5407182.1,1553356.8,587.1,85.3,501.8,194550,Not Available,Not Available,95.9,6/2/17 10:55 AM,,
N/A,2831125,MORRIS I,4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,2029010001;2029100001,2029010001;2029100001,2092079;2092082;2092083;2092084;2092085;2092095;2092098;2092099;2092100;2092101,1385 WASHINGTON AVENUE,Not Available,10456,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,1128150,Not Available,Not Available,Not Available,Not Available,1965,1,100,Whole Building,Not Available,34,38.8,Not Available,9.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7619391.9,Not Available,36115244.5,10388792.6,3756.2,404.7,3351.5,1128150,Not Available,Not Available,107.6,6/2/17 10:55 AM,,
N/A,2831126,MORRIS II,4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,2029020036;2029110001,2029020036;2029110001,2092075;2092093;2092094;2092109;2092112;2092113;2092114,1420 WASHINGTON AVENUE,Not Available,10456,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Multifamily Housing,Multifamily Housing,792250,Not Available,Not Available,Not Available,Not Available,1965,1,100,Whole Building,Not Available,84,28.1,Not Available,6.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4228996.9,Not Available,18000446.4,5176357.6,1895.1,224.6,1670.4,792250,Not Available,Not Available,76.9,6/2/17 10:55 AM,,
