Borough,Block,Lot,Population
MN,20,12,4460.583446258896
MN,20,13,632.554765140981
MN,20,16,7484.925886881304
MN,21,1,13140.007314598279
MN,21,4,7425.255673360797
MN,21,6,12.745062700212207
MN,22,13,15508.838279097134
MN,22,17,4251.23381522795
MN,22,20,8465.467716435653
MN,22,24,8121.542871332296
MN,22,28,4096.011053103521
MN,23,7,668.2730635242959
MN,23,19,5369.637310958932
MN,23,50,10759.117947635692
MN,24,1,18027.430664038533
MN,24,19,783.2264873695151
MN,24,29,8233.541379188438
MN,24,36,5584.121771390502
MN,24,7501,120.93765748546225
MN,25,1,8904.82130701751
MN,25,10,50.29312542885126
MN,25,19,16.745720333429198
MN,25,27,6105.444349478559
MN,25,7501,20.645450327080955
MN,26,14,10.237271959282502
MN,26,21,18.524699531566036
MN,26,7501,45.13213669933553
MN,27,9,14.308090661841083
MN,27,17,11.486203109107807
MN,27,7501,400.589426937109
MN,27,7502,25.00270298343778
MN,28,1,9.574723122658062
MN,28,5,7208.336981608182
MN,28,12,2869.416405890811
MN,28,15,65.86629471313373
MN,28,7501,9.689361846887882
MN,29,1,18260.30809884947
MN,29,22,18.096997534304457
MN,29,23,376.0407545221671
MN,29,24,1278.1836589103477
MN,29,25,154.85645078541606
MN,29,26,4.40153048594583
MN,29,29,4481.486709794441
MN,29,36,2721.843103525272
MN,29,43,25.596758396606145
MN,29,45,516.7944350931933
MN,29,46,2.4265543508119105
MN,29,47,2.2955563990798544
MN,29,48,78.43869832195858
MN,29,70,13292.05270442901
MN,29,73,2563.293032913185
MN,29,86,909.2960188009637
MN,29,7501,30.743759691475493
MN,29,7502,33983.32915820963
MN,29,7503,3.7751747254606887
MN,29,7504,5.570487939729968
MN,30,1,1.0439145599412343
MN,30,3,23.33246715818759
MN,30,5,992.9722740823091
MN,30,19,14039.974277863434
MN,30,32,3.40872243356018
MN,30,33,18.951878028214203
MN,30,34,150.79398154334453
MN,31,1,16.328097979495986
MN,31,10,2826.0692704459243
MN,31,34,459.0143209501006
MN,31,7501,45.513645627543546
MN,32,7501,49333.1314316854
MN,33,1,10481.893796322784
MN,33,11,16.938255500713808
MN,33,7501,3.002537469779095
MN,34,37,1156.829909502311
MN,35,1,15541.558996836166
MN,35,10,17655.867458672554
MN,36,18,95.36032166390348
MN,36,25,96.39807924351766
MN,36,30,83.34882624312426
MN,37,1,12025.139560285115
MN,37,8,202.03123345669235
MN,37,13,51.53577959947777
MN,37,23,18506.824094337866
MN,38,1,9617.629855081534
MN,38,17,10861.428715139307
MN,39,1,2107.161773263681
MN,39,4,2566.500731298035
MN,39,6,1411.8131379385395
MN,39,12,19406.302861567012
MN,39,38,24.99501587896902
MN,39,7501,6.7825671298566945
MN,40,3,26226.107353724306
MN,40,14,7864.8237217453825
MN,40,16,65.95007729338596
MN,40,7501,129.3770346698748
MN,41,15,28.147643964804992
MN,41,22,16.75997866369679
MN,41,24,2006.1847213795784
MN,41,7501,3.4878569491196836
MN,41,7502,35.97166568936164
MN,41,7503,7.048486754164703
MN,41,7504,46.954128869325785
MN,42,1,12.676387025474199
MN,42,22,18.286066813759014
