GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US360610007001017,360610007001017,"Block 1017, Block Group 1, Census Tract 7, New York County, New York",201
1000000US360610007001018,360610007001018,"Block 1018, Block Group 1, Census Tract 7, New York County, New York",1077
1000000US360610007001019,360610007001019,"Block 1019, Block Group 1, Census Tract 7, New York County, New York",154
1000000US360610007001020,360610007001020,"Block 1020, Block Group 1, Census Tract 7, New York County, New York",1258
1000000US360610007001021,360610007001021,"Block 1021, Block Group 1, Census Tract 7, New York County, New York",89
1000000US360610007001022,360610007001022,"Block 1022, Block Group 1, Census Tract 7, New York County, New York",570
1000000US360610007001023,360610007001023,"Block 1023, Block Group 1, Census Tract 7, New York County, New York",298
1000000US360610007001024,360610007001024,"Block 1024, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001025,360610007001025,"Block 1025, Block Group 1, Census Tract 7, New York County, New York",787
1000000US360610007001026,360610007001026,"Block 1026, Block Group 1, Census Tract 7, New York County, New York",1
1000000US360610007001027,360610007001027,"Block 1027, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001028,360610007001028,"Block 1028, Block Group 1, Census Tract 7, New York County, New York",2
1000000US360610007001029,360610007001029,"Block 1029, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001030,360610007001030,"Block 1030, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001031,360610007001031,"Block 1031, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001032,360610007001032,"Block 1032, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007001033,360610007001033,"Block 1033, Block Group 1, Census Tract 7, New York County, New York",0
1000000US360610007002000,360610007002000,"Block 2000, Block Group 2, Census Tract 7, New York County, New York",0
1000000US360610008000001,360610008000001,"Block 0001, Block Group 0, Census Tract 8, New York County, New York",0
1000000US360610008001000,360610008001000,"Block 1000, Block Group 1, Census Tract 8, New York County, New York",559
1000000US360610008001001,360610008001001,"Block 1001, Block Group 1, Census Tract 8, New York County, New York",976
1000000US360610008002000,360610008002000,"Block 2000, Block Group 2, Census Tract 8, New York County, New York",1658
1000000US360610008003000,360610008003000,"Block 3000, Block Group 3, Census Tract 8, New York County, New York",1962
1000000US360610008004000,360610008004000,"Block 4000, Block Group 4, Census Tract 8, New York County, New York",1720
1000000US360610008005000,360610008005000,"Block 5000, Block Group 5, Census Tract 8, New York County, New York",1717
1000000US360610008005001,360610008005001,"Block 5001, Block Group 5, Census Tract 8, New York County, New York",0
1000000US360610008005002,360610008005002,"Block 5002, Block Group 5, Census Tract 8, New York County, New York",0
1000000US360610008006000,360610008006000,"Block 6000, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006001,360610008006001,"Block 6001, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006002,360610008006002,"Block 6002, Block Group 6, Census Tract 8, New York County, New York",107
1000000US360610008006003,360610008006003,"Block 6003, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006004,360610008006004,"Block 6004, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006005,360610008006005,"Block 6005, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006006,360610008006006,"Block 6006, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006007,360610008006007,"Block 6007, Block Group 6, Census Tract 8, New York County, New York",376
1000000US360610008006008,360610008006008,"Block 6008, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006009,360610008006009,"Block 6009, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006010,360610008006010,"Block 6010, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006011,360610008006011,"Block 6011, Block Group 6, Census Tract 8, New York County, New York",244
1000000US360610008006012,360610008006012,"Block 6012, Block Group 6, Census Tract 8, New York County, New York",522
1000000US360610008006013,360610008006013,"Block 6013, Block Group 6, Census Tract 8, New York County, New York",446
1000000US360610008006014,360610008006014,"Block 6014, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006015,360610008006015,"Block 6015, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006016,360610008006016,"Block 6016, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006017,360610008006017,"Block 6017, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006018,360610008006018,"Block 6018, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006019,360610008006019,"Block 6019, Block Group 6, Census Tract 8, New York County, New York",0
1000000US360610008006020,360610008006020,"Block 6020, Block Group 6, Census Tract 8, New York County, New York",0
