NYCHA PROPERTY DIRECTORY,,,,,,,BRONX
BLOCK and LOT GUIDE,,,,,,,
BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
,,,,,,,SHOP/ GROUNDS SHOP/ X-MAN SHOP
2311,,1302 EAST 138TH STREET,10454,MITCHEL,MITCHEL,1,
2311,,1318 EAST 138TH STREET,10454,MITCHEL,MITCHEL,1,
2311,,1182 LINCOLN AVENUE,10454,MITCHEL,MITCHEL,1,
2311,,1188 LINCOLN AVENUE,10454,MITCHEL,MITCHEL,,1SENIOR CENTER
2311,,1190 LINCOLN AVENUE,10454,MITCHEL,MITCHEL,,1STORAGE ROOM
2324,,12715 3RD AVENUE,10451,PATTERSON,PATTERSON,,1BRICKLAYERS SHOP/ CARPENTERS
,,,,,,,SHOP
2324,,1325 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2324,,1315 EAST 143RD STREET,10451,PATTERSON,PATTERSON,,1GLAZIERS SHOP
2324,,1281 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2324,,1271 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2324,,1291 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2324,,1301 EAST 143RD STREET,10451,PATTERSON,PATTERSON,,1DEVELOPMENT MANAGEMENT
,,,,,,,OFFICE/ MAIN STOREROOM/
,,,,,,,JANITORIAL STOREROOM
2324,,1328 EAST 145TH STREET,10451,PATTERSON,PATTERSON,1,
2324,,1338 EAST 145TH STREET,10451,PATTERSON,PATTERSON,,1CONTRACTOR PAINT SHOP/ NYCHA
,,,,,,,PAINT SHOP/ PLASTERERS SHOP/
,,,,,,,EXTERMINATOR SHOP
2324,,1308 EAST 145TH STREET,10451,PATTERSON,PATTERSON,,1SENIOR CENTER
2324,,1414 MORRIS AVENUE,10451,PATTERSON,PATTERSON,,1DAY CARE CENTER
2324,,1424 MORRIS AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,12595 3RD AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,12645 3RD AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,12635 3RD AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,12625 3RD AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,12615 3RD AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,1314 EAST 143RD STREET,10451,PATTERSON,PATTERSON,,1BOILER/ STORAGE ROOM
2325,,1324 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2325,,1300 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2325,,1308 EAST 143RD STREET,10451,PATTERSON,PATTERSON,1,
2325,,1300 MORRIS AVENUE,10451,PATTERSON,PATTERSON,,1PLUMBERS SHOP
2325,,1320 MORRIS AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,1340 MORRIS AVENUE,10451,PATTERSON,PATTERSON,,1COMMUNITY CENTER
2325,,1360 MORRIS AVENUE,10451,PATTERSON,PATTERSON,1,
2325,,1370 MORRIS AVENUE,10451,PATTERSON,PATTERSON,1,
2370,131070 WASHINGTON AVENUE,,10456,LA PRECIOSA,,3,
