Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/29  04:00:00,145.423467264,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/29  05:00:00,145.271011718,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/29  06:00:00,186.936106592,26.9939304041,0.576243138731,0.0,13.9747600329,18.6919646116,33.6764734107,27.8422221649,4.67,1.16425124584
 08/29  07:00:00,191.950100685,26.9939304041,0.47679879919,0.0,13.9747600329,18.6919646116,69.6223254046,64.9323254046,4.67,0.02
 08/29  08:00:00,255.513786249,26.9939304041,1.49932915364,0.0,34.9369000822,32.3179380704,57.5571739941,48.2201518629,8.1725,1.16452213129
 08/29  09:00:00,287.233639048,26.9939304041,3.57650730483,0.0,62.886420148,41.4019203762,26.7718991373,16.2443991373,10.5075,0.02
 08/29  10:00:00,285.983414216,26.9939304041,4.62568872564,0.0,62.886420148,41.4019203762,12.2398952729,0.567671153631,10.5075,1.16472411925
 08/29  11:00:00,309.839458294,26.9939304041,6.24194877507,0.0,62.886420148,41.4019203762,11.6724817859,0.0,10.5075,1.16498178592
 08/29  12:00:00,304.420579245,26.9939304041,7.99017731561,0.0,62.886420148,41.4019203762,11.6725455541,0.0,10.5075,1.16504555406
 08/29  13:00:00,306.720282829,26.9939304041,9.01033012377,0.0,62.886420148,41.4019203762,11.6725539904,0.0,10.5075,1.16505399036
 08/29  14:00:00,300.156617519,26.9939304041,9.59938798283,0.0,62.886420148,41.4019203762,11.672359521,0.0,10.5075,1.16485952099
 08/29  15:00:00,297.491625518,26.9939304041,10.4799545101,0.0,62.886420148,41.4019203762,11.6723341993,0.0,10.5075,1.16483419928
 08/29  16:00:00,298.096379579,26.9939304041,10.9028378742,0.0,62.886420148,41.4019203762,11.672370204,0.0,10.5075,1.16487020401
 08/29  17:00:00,296.044132992,26.9939304041,10.3610354886,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/29  18:00:00,287.070974928,26.9939304041,8.4769503563,0.0,41.9242800987,36.8599292233,10.5048433961,0.0,9.34,1.1648433961
 08/29  19:00:00,272.638806084,26.9939304041,7.30836048603,0.0,41.9242800987,36.8599292233,10.5046564131,0.0,9.34,1.16465641314
 08/29  20:00:00,251.124133562,26.9939304041,5.84401028442,0.0,34.9369000822,32.3179380704,9.33713136388,0.0,8.1725,1.16463136388
 08/29  21:00:00,180.467178763,26.9939304041,3.74059405313,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/29  22:00:00,124.419478007,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/29  23:00:00,153.339183501,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930093649,0.0,2.335,1.16430093649
 08/29  24:00:00,129.470551568,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/30  01:00:00,117.324462078,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/30  02:00:00,115.199294921,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922358718,0.0,2.335,1.16422358718
 08/30  03:00:00,113.480067394,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/30  04:00:00,119.800987774,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/30  05:00:00,118.090662422,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/30  06:00:00,159.826464039,26.9939304041,0.45743302035,0.0,13.9747600329,18.6919646116,40.1853257369,34.3510733235,4.67,1.1642524134
 08/30  07:00:00,174.490379286,26.9939304041,0.485444525951,0.0,13.9747600329,18.6919646116,67.0620019743,62.3720019743,4.67,0.02
 08/30  08:00:00,251.342786291,26.9939304041,1.69859757876,0.0,34.9369000822,32.3179380704,47.7770948646,38.4400706677,8.1725,1.16452419694
 08/30  09:00:00,281.917419782,26.9939304041,3.5926721849,0.0,62.886420148,41.4019203762,21.3899142945,10.8624142945,10.5075,0.02
 08/30  10:00:00,275.749634842,26.9939304041,4.83129765194,0.0,62.886420148,41.4019203762,11.6722272551,0.0,10.5075,1.16472725506
 08/30  11:00:00,304.747627448,26.9939304041,7.57060776957,0.0,62.886420148,41.4019203762,11.672486132,0.0,10.5075,1.16498613195
