Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/11  13:00:00,27.0493653134,2.17605060216,1.04736546052,0.0,3.71167865564,18.077,34.3980157614,0.0,31.51155,2.88646576144
 06/11  14:00:00,21.4246543485,2.17605060216,0.438210464013,0.0,3.71167865564,13.077,23.3196451904,0.0,21.0077,2.31194519036
 06/11  15:00:00,21.102171884,2.17605060216,0.147663110645,0.0,3.71167865564,13.077,21.819265692,0.0,19.50715,2.31211569198
 06/11  16:00:00,20.8533516266,2.17605060216,0.0,0.0,3.71167865564,13.077,24.8205412803,0.0,22.50825,2.31229128029
 06/11  17:00:00,25.8444110046,2.17605060216,0.0,0.0,3.71167865564,18.077,28.3961649613,0.0,25.50935,2.88681496128
 06/11  18:00:00,25.8611398707,2.17605060216,0.0134695573176,0.0,3.71167865564,18.077,28.9717619296,0.0,25.50935,3.46241192961
 06/11  19:00:00,26.0012557811,2.17605060216,0.0,0.0,3.71167865564,18.077,28.9715282057,0.0,25.50935,3.46217820566
 06/11  20:00:00,22.8748626847,2.17605060216,0.0,0.0,3.71167865564,13.077,25.419165086,0.0239507584596,22.50825,2.8869643275
 06/11  21:00:00,23.4167026388,2.17605060216,0.0,0.0,3.71167865564,13.077,24.4699529032,0.0,21.0077,3.46225290319
 06/11  22:00:00,23.2946342382,2.17605060216,0.0,0.0,3.71167865564,13.077,20.8931627953,0.0,18.0066,2.88656279534
 06/11  23:00:00,24.4310662103,2.17605060216,0.0,0.0,3.71167865564,13.077,4.73901349289,0.0,3.0011,1.73791349289
 06/11  24:00:00,13.9966183698,2.17605060216,0.0,0.0,1.85583932782,5.577,5.99316812987,0.681174623835,3.0011,2.31089350603
 06/12  01:00:00,9.74770057823,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 06/12  02:00:00,9.77664279836,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 06/12  03:00:00,9.79130644531,0.0,0.0,0.0,0.618613109274,5.0,3.59315448856,0.0,3.0011,0.592054488563
 06/12  04:00:00,9.95580540866,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 06/12  05:00:00,12.038620422,2.17605060216,0.0,0.0,1.85583932782,5.577,7.09016198336,1.99642570445,4.50165,0.592086278916
 06/12  06:00:00,25.9005435308,2.17605060216,0.00359376053149,0.0,3.71167865564,18.077,14.6700696558,0.0,13.50495,1.16511965576
 06/12  07:00:00,25.8900514394,2.17605060216,0.00397727790508,0.0,3.71167865564,18.077,25.0467275653,0.0,21.0077,4.03902756529
