Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/16  23:00:00,972.344447353,96.4632693683,579.960254024,0.0,34.9616554283,124.558693486,459.508743198,427.977236379,14.1616749024,17.3698319161
 07/16  24:00:00,963.039296145,96.4632693683,583.252175239,0.0,34.9616554283,113.312780494,447.509678997,433.149974049,5.66466996096,8.69503498644
 07/17  01:00:00,968.057008093,96.4632693683,576.627148811,0.0,46.0930336215,113.312780494,449.849597954,435.489907593,5.66466996096,8.69502039972
 07/17  02:00:00,967.176520208,96.4632693683,575.325404943,0.0,46.0930336215,113.312780494,462.001718151,438.966912923,5.66466996096,17.3701352675
 07/17  03:00:00,969.915209459,96.4632693683,578.044304462,0.0,46.0930336215,113.312780494,457.414664195,443.054844002,5.66466996096,8.69515023212
 07/17  04:00:00,1056.95703301,96.4632693683,574.399918864,0.0,100.150657288,148.969399434,437.903829054,423.543946941,5.66466996096,8.6952121516
 07/17  05:00:00,1044.81292736,96.4632693683,568.203238651,0.0,100.150657288,149.894399434,710.549519193,679.020135136,14.1616749024,17.3677091544
 07/17  06:00:00,1261.30614586,98.3146092285,561.294495868,0.0,176.471037341,302.612436532,488.774074776,451.757644903,28.3233498048,8.69308006845
 07/17  07:00:00,1376.56327025,100.634838323,550.534540745,0.0,243.2593065,310.10971186,450.014835223,390.027535897,42.4850247072,17.5022746191
 07/17  08:00:00,1410.26919713,101.622337138,541.716885745,0.0,243.2593065,310.10971186,445.533093441,362.534909081,56.6466996096,26.3514847506
 07/17  09:00:00,1441.77718104,102.431378903,539.173650275,0.0,243.2593065,302.612436532,418.022276708,349.10569784,42.4850247072,26.4315541608
