Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/19  09:00:00,316.970079181,36.2614982826,110.360772802,0.0,51.0481707146,71.0224615957,357.930485118,24.3180968713,66.8089,266.803488246
 05/19  10:00:00,258.138676242,36.3476845498,100.36587333,0.0,32.1804615127,65.7244621605,311.285866319,21.2251132284,83.4695,206.591253091
 05/19  11:00:00,256.397561986,36.3963368932,97.8871025226,0.0,32.1804615127,65.7244621605,256.858596366,19.20857013,83.4695,154.180526236
 05/19  12:00:00,261.058245599,36.4332280354,103.125621395,0.0,32.1804615127,65.7244621605,254.318603088,16.8722422492,83.4695,153.976860839
 05/19  13:00:00,258.909602249,36.4674202055,110.510594042,0.0,32.1804615127,55.9779621605,244.312735597,15.3948973698,75.1392,153.778638227
 05/19  14:00:00,260.841854742,36.4973610906,112.255755124,0.0,32.1804615127,55.9779621605,235.981988221,15.5957735589,66.8089,153.577314663
 05/19  15:00:00,259.920447366,36.5261576808,111.110080488,0.0,32.1804615127,55.9779621605,244.454089077,15.7439400761,75.1392,153.570949001
 05/19  16:00:00,286.169337643,36.2498108769,108.280762792,0.0,32.1804615127,60.9114621605,222.013531636,14.6578359169,91.7998,115.555895719
 05/19  17:00:00,327.226188326,35.749966125,114.99705465,0.0,32.1804615127,77.5397301883,236.784045064,15.9333793932,49.9818,170.868865671
 05/19  18:00:00,400.509717385,35.7917313199,134.26213646,0.0,77.122965704,86.2600435998,376.168937833,17.037618673,49.9818,309.14951916
 05/19  19:00:00,412.276564125,35.7366201148,138.778209006,0.0,102.647051061,80.1663183927,284.349454529,17.352424272,33.3212,233.675830257
 05/19  20:00:00,459.566783239,35.7246418334,143.604170466,0.0,115.40909374,92.7192997104,279.1554629,17.629239635,33.3212,228.205023265
 05/19  21:00:00,436.133101748,35.818396216,143.20885372,0.0,102.647051061,94.1340635361,386.21178291,17.9246573237,24.9909,343.296225586
 05/19  22:00:00,362.734798617,35.8949856644,135.849614066,0.0,77.122965704,65.871452062,289.009202886,19.4392284128,16.6606,252.909374473
 05/19  23:00:00,262.694942173,35.8474157166,103.991398079,0.0,38.286128036,48.4199368926,174.440806572,24.3444311023,8.3303,141.76607547
 05/19  24:00:00,136.139262284,30.8976316354,23.623993802,0.0,25.5240853573,30.610668775,138.860323543,20.1958185037,3.33212,115.332385039
 05/20  01:00:00,169.316713863,31.6961395499,52.8514106542,0.0,27.7269238854,30.610668775,103.361535044,19.1767618529,3.33212,80.8526531911
 05/20  02:00:00,158.808149505,32.4946474645,58.5247988507,0.0,12.7620426787,28.1191506574,111.784476808,21.3765860408,3.33212,87.075770767
 05/20  03:00:00,179.024150992,33.293155379,76.81838665,0.0,12.7620426787,28.1191506574,112.778809467,22.3632304615,3.33212,87.0834590058
